X Y
0 -48.03
1 -98.79
2 -94.90
3 -98.35
4 -91.12
5 -92.72
6 -75.83
7 -88.79
8 -83.72
9 -84.31
10 -81.68
11 -65.56
12 -65.64
13 -58.24
14 -65.29
15 -63.37
16 -58.17
17 -61.55
18 -60.50
19 -53.17
20 -54.15
21 -52.88
22 -48.37
23 -45.97
24 -47.94
25 -38.88
26 -45.90
27 -42.37
28 -43.28
29 -39.17
30 60.93
31 -36.93
32 -18.43
33 -36.80
34 -35.73
35 -28.95
36 -33.49
37 -29.50
38 -27.19
39 -20.40
40 -25.56
41 -18.48
42 -19.21
43 -15.80
44 -16.51
45 -13.21
46 -12.76
47 0.43
48 -9.87
49 -6.01
50 -3.38
51 7.55
52 2.66
53 3.74
54 3.39
55 41.63
 
57 12.13
 
59 19.41
60 19.55
61 29.98
62 22.43
63 25.16
64 28.76
65 40.18
66 31.83
67 36.14
68 32.20
69 37.83
70 39.97
71 39.81
72 40.28
73 41.03
74 45.16
75 42.23
76 44.89
77 43.57
78 48.91
79 46.84
80 53.71
81 57.11
82 55.92
83 57.55
84 60.66
85 70.02
86 60.96
87 60.96
88 84.35
89 67.93
90 85.87
91 68.22
92 95.40
93 87.61
94 92.49
95 98.26
96 97.86
97 99.01
98 98.29
99 99.84
