X	Y
0	-98.596
1	-97.0268
2	-96.3977
3	-95.2323
4	-95.1508
5	-93.2033
6	-92.2472
7	-87.0453
8	-82.9181
9	-81.2831
10	-79.6478
11	-78.6699
12	-78.1665
13	-77.9298
14	-71.992
15	-71.2759
16	-69.7155
17	-66.7815
18	-64.6283
19	-63.1594
20	-56.5298
21	-56.489
22	-54.9184
23	-54.6269
24	-46.169
25	-52.392
26	-45.0662
27	-40.4355
28	-40.6053
29	-35.7197
30	-35.4753
31	-33.9028
32	-32.9605
33	-31.3491
34	-29.3661
35	-25.9104
36	-25.1704
37	-23.5693
38	-21.1351
39	-19.5714
40	-18.8884
41	-19.4081
42	-18.078
43	-15.503
44	-15.0144
45	-13.3891
46	-10.9642
47	-10.7674
48	-8.75468
49	-9.75293
50	-6.64754
51	-5.99185
52	-3.7814
53	-3.99791
54	-2.59105
55	-0.956042
56	-0.740043
57	1.47417
58	2.87046
59	3.05713
60	6.35368
61	10.0014
62	14.4947
63	16.5869
64	24.9324
65	25.5847
66	26.5976
67	26.2096
68	32.7798
69	32.8572
70	33.3831
71	38.283
72	39.8552
73	42.0441
74	45.1654
75	47.8007
76	48.0359
77	50.8578
78	54.4047
79	61.3044
80	65.0769
81	66.3004
82	65.3445
83	68.8583
84	70.0272
85	70.0591
86	74.0972
87	76.5145
88	76.9737
89	76.6729
90	78.7989
91	88.5519
92	80.327
93	94.2212
94	95.4198
95	96.3818
96	97.8559
97	98.2894
98	98.2244
99	98.46
